directors,popularity,stars,title,writer
Sam Mende,237,"Kevin Spacey,Annette Bening,Thora Birch",American Beauty,
Sergio Leon,,"Robert De Niro,James Woods,Elizabeth McGovern",Once Upon a Time in America,"Harry Grey,Leonardo Benvenuti"
Makoto Shinka,552,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",Your Name.,"Makoto Shinkai,Makoto Shinkai"
Lee Unkric,176,"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",Coco,"Lee Unkrich,Jason Katz"
James Camero,438,"Sigourney Weaver,Michael Biehn,Carrie Henn",Aliens,"James Cameron,David Giler"
Christopher Nola,216,"Christian Bale,Tom Hardy,Anne Hathaway",The Dark Knight Rises,"Jonathan Nolan,Christopher Nolan"
Billy Wilde,,,Witness for the Prosecution,
Chan-wook Par,365,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang",Oldboy,"Garon Tsuchiya,Nobuaki Minegishi"
Hayao Miyazak,711,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",Princess Mononoke,Hayao Miyazaki
Billy Wilde,,"William Holden,Gloria Swanson,Erich von Stroheim",Sunset Blvd.,"Charles Brackett,Billy Wilder"
Stanley Kubric,843,"Peter Sellers,George C. Scott,Sterling Hayden",Dr. Strangelove,"Stanley Kubrick,Terry Southern"
Bob Persichett,185,"Shameik Moore,Jake Johnson,Hailee Steinfeld",Spider-Man: Into the Spider-Verse,"Phil Lord,Rodney Rothman"
Anthony Russ,"26
        ","Robert Downey Jr.,Chris Evans,Mark Ruffalo",Avengers: Endgame,"Christopher Markus,Stephen McFeely"
Andrew Stanto,788,"Ben Burtt,Elissa Knight,Jeff Garlin",WALL·E,"Andrew Stanton,Pete Docter"
Stanley Kubric,179,"Jack Nicholson,Shelley Duvall,Danny Lloyd",The Shining,"Stephen King,Stanley Kubrick"
Quentin Tarantin,170,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",Django Unchained,
Stanley Kubric,,"Kirk Douglas,Ralph Meeker,Adolphe Menjou",Paths of Glory,"Stanley Kubrick,Calder Willingham"
Florian Henckel von Donnersmarc,687,,The Lives of Others,
Charles Chapli,,"Charles Chaplin,Paulette Goddard,Jack Oakie",The Great Dictator,
Anthony Russ,"92
        ","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",Avengers: Infinity War,"Christopher Markus,Stephen McFeely"
Steven Spielber,126,"Harrison Ford,Karen Allen,Paul Freeman",Raiders of the Lost Ark,"Lawrence Kasdan,George Lucas"
Francis Ford Coppol,219,"Martin Sheen,Marlon Brando,Robert Duvall",Apocalypse Now,"John Milius,Francis Ford Coppola"
Christopher Nola,308,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",Memento,Christopher Nolan
Alfred Hitchcoc,562,"James Stewart,Grace Kelly,Wendell Corey",Rear Window,John Michael Hayes
Ridley Scot,270,"Sigourney Weaver,Tom Skerritt,John Hurt",Alien,"Dan O'Bannon,Dan O'Bannon"
Michael Curti,635,"Humphrey Bogart,Ingrid Bergman,Paul Henreid",Casablanca,"Julius J. Epstein,Philip G. Epstein"
Isao Takahat,"1,009","Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",Grave of the Fireflies,Akiyuki Nosaka
Todd Phillip,27,"Joaquin Phoenix,Robert De Niro,Zazie Beetz",Joker,"Todd Phillips,Scott Silver"
Sergio Leon,564,"Henry Fonda,Charles Bronson,Claudia Cardinale",Once Upon a Time in the West,"Sergio Donati,Sergio Leone"
Christopher Nola,133,"Christian Bale,Hugh Jackman,Scarlett Johansson",The Prestige,"Jonathan Nolan,Christopher Nolan"
Giuseppe Tornator,"1,565","Philippe Noiret,Enzo Cannavale,Antonella Attili",Cinema Paradiso,"Giuseppe Tornatore,Giuseppe Tornatore"
Damien Chazell,283,"Miles Teller,J.K. Simmons,Melissa Benoist",Whiplash,
Charles Chapli,"3,408",,City Lights,
Martin Scorses,119,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",The Departed,"William Monahan,Alan Mak"
Olivier Nakach,398,"François Cluzet,Omar Sy,Anne Le Ny",The Intouchables,"Olivier Nakache,Philippe Pozzo di Borgo"
Charles Chapli,"2,755",,Modern Times,
Alfred Hitchcoc,337,"Anthony Perkins,Janet Leigh,Vera Miles",Psycho,Joseph Stefano
Roman Polansk,319,"Adrien Brody,Thomas Kretschmann,Frank Finlay",The Pianist,Ronald Harwood
Ridley Scot,"172
        ","Russell Crowe,Joaquin Phoenix,Connie Nielsen",Gladiator,"David Franzoni,David Franzoni"
Tony Kay,420,"Edward Norton,Edward Furlong,Beverly D'Angelo",American History X,
Robert Zemecki,121,"Michael J. Fox,Christopher Lloyd,Lea Thompson",Back to the Future,Robert Zemeckis
James Camero,645,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",Terminator 2: Judgment Day,James Cameron
Masaki Kobayash,"1,555",,Harakiri,
Roger Aller,295,"Matthew Broderick,Jeremy Irons,James Earl Jones",The Lion King,"Irene Mecchi,Jonathan Roberts"
Bryan Singe,326,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",The Usual Suspects,
Hayao Miyazak,231,"Daveigh Chase,Suzanne Pleshette,Miyu Irino",Spirited Away,
Luc Besso,192,"Jean Reno,Gary Oldman,Natalie Portman",Léon: The Professional,
Frank Darabon,249,"Tom Hanks,Michael Clarke Duncan,David Morse",The Green Mile,Stephen King
Christopher Nola,54,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",Interstellar,Jonathan Nolan
Bong Joon H,"7
        ","Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo",Parasite,"Bong Joon Ho,Bong Joon Ho"
Steven Spielber,164,"Tom Hanks,Matt Damon,Tom Sizemore",Saving Private Ryan,
Frank Capr,"1,295","James Stewart,Donna Reed,Lionel Barrymore",It's a Wonderful Life,"Frances Goodrich,Albert Hackett"
George Luca,209,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode IV - A New Hope,
Jonathan Demm,128,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",The Silence of the Lambs,Thomas Harris
Fernando Meirelle,452,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",City of God,Paulo Lins
Roberto Benign,391,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",Life Is Beautiful,Vincenzo Cerami
David Finche,127,"Morgan Freeman,Brad Pitt,Kevin Spacey",Se7en,
Akira Kurosaw,560,,Seven Samurai,
Milos Forma,351,"Jack Nicholson,Louise Fletcher,Will Sampson",One Flew Over the Cuckoo's Nest,"Lawrence Hauben,Bo Goldman"
Lana Wachowsk,120,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",The Matrix,Lilly Wachowski
